what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1298438447478
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1298438507241
error,log,,,"Exception occurred during problem detection:\r\n----------------------------------- SOURCE BEGIN -------------------------------------\r\n\r\nvar d=new Date();\r\nvar theDay=d.getDay();\r\nvar r = confirm(""Do You wish to know the day?"");\r\nif (r == true);\r\n\t{\r\n\tswitch (theDay)\r\n\t{\r\n\tcase 1:\r\n\t\talert(""Manic Monday"");\r\n\t\tbreak;\r\n\tcase 2:\r\n\t\talert(""Terrible Tuesday"");\r\n\t\tbreak;\t\r\n\tcase 3:\r\n\t\talert(""Wind-up Wednesday"");\r\n\t\tbreak;\t\r\n\tcase 4:\r\n\t\talert(""This is Thursday"");\r\n\t\tbreak;  \r\n\tcase 5:\r\n\t\talert(""Finally Friday"");\r\n\t\tbreak;\r\n\tcase 6:\r\n\t\talert(""Super Saturday"");\r\n\t\tbreak;\r\n\tcase 0:\r\n\t\talert(""Sleepy Sunday"");\r\n\t\tbreak;\r\n\tdefault:\r\n\t\tdocument.write(""I'm looking forward to this weekend!"");\r\n}\r\n}\r\n<button type=""button"" onclick=""displayDate()"">Display Date</button>\r\n\t{\r\n\t\tvar i=0;\r\n\t\tfor (i=0;i<=5;i++)\r\n\t\t{\r\n\t\tdocument.write(""The number is "" + i);\r\n\t\tdocument.write(""<br />"");\r\n\t\t}\r\n\t\tvar i=0;\r\n\t\r\n\t\twhile (i<=5)\r\n\t\t{\r\n\t\tdocument.write(""The number is "" + i);\r\n\t\tdocument.write(""<br />"");\r\n\t\ti++;\r\n\t\t}\r\n\t}\r\n----------------------------------- SOURCE END -------------------------------------",1298438507901
error,log,,,"Error in JSDT Core during reconcile",1298438507902
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1298438511221
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1298438513797
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1298438524414
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1298438527645
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1298438531754
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1298438542713
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1298438547584
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1298438566188
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1298438572541
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1298438575905
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1298438578724
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1298438584376
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1298438590769
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1298438595605
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1298438744781
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1298438756000
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1298438756649
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1298438798743
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1298438817354
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1298438818862
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1298438820025
